Quantum,Wait,Turnaround,Response
1,1365168.75,103627.56,1977.02
2,1364898.38,103612.82,1900.36
3,1364421.75,103602.56,1962.88
4,1364489.25,103598.44,1977.36
5,1363967.88,103569.18,1964.02
6,1362979.0,103560.88,1794.92
7,1361266.75,103555.32,1985.8
8,1362679.38,103560.34,2011.06
9,1362570.38,103562.72,2146.0
10,1361216.12,103509.36,2003.44
11,1359340.0,103536.5,2080.16
12,1360631.25,103468.2,2097.18
13,1358202.75,103479.9,2028.54
14,1356931.5,103441.56,2085.28
15,1359055.0,103459.24,2073.24
16,1360389.88,103494.18,2020.92
17,1353817.0,103547.52,2069.22
18,1356251.5,103473.06,2166.76
19,1353734.88,103461.86,2223.72
20,1354942.38,103422.64,2266.68
21,1355057.5,103483.9,2204.54
22,1354028.5,103410.26,2102.36
23,1351925.25,103521.76,2164.94
24,1352831.62,103332.4,2061.42
25,1352621.12,103385.62,2131.36
26,1346825.25,103453.64,2218.06
27,1347084.0,103549.88,2235.9
28,1343390.38,103245.34,2319.42
29,1345301.62,103315.68,2393.0
30,1345051.0,103450.7,2478.16
31,1347411.5,103518.78,2468.46
32,1347843.88,103261.58,2552.84
33,1340966.0,103088.58,2637.4
34,1341135.75,103220.66,2667.1
35,1342726.25,103323.74,2725.92
36,1343147.25,103404.24,2715.1
37,1339143.5,103511.06,2688.48
38,1337741.0,103311.64,2756.36
39,1335179.0,103093.2,2822.8
40,1336337.5,102960.36,2851.16
41,1336711.25,103123.02,2914.24
42,1334686.38,103103.02,2823.42
43,1337052.38,103296.4,2881.54
44,1337868.62,103306.14,2844.14
45,1335050.5,103315.5,2812.38
46,1336629.25,103424.9,2841.9
47,1336186.38,103451.12,2615.48
48,1333707.0,103184.64,2661.4
49,1329474.0,103050.52,2705.04
50,1329419.5,102875.22,2649.96
51,1326952.75,102780.92,2674.24
52,1324679.75,102842.34,2720.04
53,1328738.12,102912.36,2761.88
54,1326130.5,103054.62,2762.18
55,1325210.62,102963.62,2807.1
56,1321565.0,103103.64,2849.34
57,1322276.75,103253.66,2890.0
58,1320788.75,103242.42,2933.04
59,1321190.12,103386.08,2975.02
60,1317497.62,103297.58,2990.06
61,1314194.38,103341.04,3028.3
62,1318996.62,103356.72,3069.96
63,1317829.62,103210.36,3111.02
64,1316799.0,102929.42,3149.68
65,1312080.12,102757.52,3187.12
66,1305702.5,102577.52,3022.2
67,1303240.12,102295.9,3055.48
68,1302114.25,102391.62,3091.22
69,1303396.5,102483.08,3124.04
70,1305081.62,102566.62,3159.84
71,1303829.25,102656.46,3195.6
72,1302553.38,102660.36,3229.54
73,1298882.25,102731.64,3213.72
74,1298258.75,102796.58,3244.08
75,1299546.12,102875.22,3278.48
76,1296010.38,102747.24,3310.96
77,1292022.75,102827.96,3286.18
78,1289862.75,102842.34,3318.8
79,1289124.25,102864.24,3284.08
80,1289613.5,102960.36,3312.86
81,1287116.25,103054.62,3339.5
82,1282161.5,103123.02,3369.12
83,1279500.75,103092.26,3398.12
84,1275093.0,103177.24,3425.18
85,1273821.0,103274.18,3032.5
86,1272771.38,103368.68,3056.82
87,1270744.12,103250.72,3080.36
88,1271220.88,103276.28,3105.62
89,1269949.0,103367.02,3130.18
90,1262080.0,103188.68,3154.7
91,1258759.5,103044.14,3178.36
92,1257379.25,103044.64,3202.88
93,1254472.62,103035.36,3226.6
94,1251667.0,103012.28,3249.52
95,1246682.12,102901.4,3269.76
96,1247518.75,102503.66,3292.02
97,1244763.62,102413.6,3311.28
98,1239022.12,102255.78,3281.1
99,1238706.75,101880.9,3302.86
100,1237565.0,101447.22,3323.64
